Date,CallsReceived,CallsAnsweredDirectly,CallsAnsweredKPITarget,CallsForwardedToPolicy,SocialMediaMessages,MessagesAnsweredDirectly,MessagesAnsweredKPITarget,MessagesForwardedToPolicy,EmailsReceived,EmailsAnsweredDirectly,EmailsAnsweredKPITarget,EmailsForwardedToPolicy
2016-01,1022,1005,1005,402,25,25,25,0,550,264,411,286
2016-02,1129,1111,1111,481,48,48,48,0,641,302,467,339
2016-03,1163,1155,1155,427,33,33,33,0,678,277,405,290
2016-04,1082,1076,1076,391,24,24,24,0,636,272,441,310
2016-05,922,903,903,332,14,12,12,2,578,254,404,278
2016-06,1071,1049,1049,408,30,30,26,4,478,206,298,230
2016-07,1017,937,937,303,22,22,22,0,492,243,344,184
2016-08,1061,1037,1037,397,35,35,28,7,558,246,367,251
2016-09,1068,1049,1049,407,30,30,26,4,497,208,304,230
2016-10,1019,993,993,409,19,17,17,2,1128,232,353,859
2016-11,953,918,918,327,30,30,30,0,524,263,414,151
2016-12,718,710,70,253,36,33,33,3,312,127,134,187
